Date,Open,High,Low,Close,Adj Close,Volume
2010-06-24,79.809998,79.839996,77.870003,78.180000,53.278221,4340100
2010-06-25,78.529999,79.089996,77.879997,78.900002,53.768890,4339900
2010-06-28,78.949997,79.730003,78.290001,78.980003,53.823421,3094000
2010-06-29,78.720001,79.040001,76.849998,78.489998,53.489460,8545400
2010-06-30,78.209999,80.220001,78.209999,78.989998,53.830227,6942900
2010-07-01,79.059998,79.379997,77.830002,78.550003,53.530373,6811700
2010-07-02,78.800003,79.000000,77.040001,77.669998,52.930664,3776900
2010-07-06,78.449997,79.379997,77.500000,78.139999,53.250950,4012500
2010-07-07,78.440002,80.580002,77.930000,80.519997,54.872875,4957900
2010-07-08,81.120003,81.589996,80.089996,81.220001,55.349926,3975800
2010-07-09,81.110001,82.250000,81.110001,82.160004,55.990509,2817400
2010-07-12,81.870003,82.260002,81.360001,82.260002,56.058666,3206600
2010-07-13,82.839996,84.570000,82.839996,83.550003,56.937771,5137400
2010-07-14,83.129997,83.680000,82.489998,83.050003,56.597042,3114300
2010-07-15,83.169998,83.169998,81.529999,83.059998,56.603832,4642000
2010-07-16,82.709999,82.769997,80.699997,80.949997,55.165928,4302500
2010-07-19,81.480003,81.550003,80.080002,81.220001,55.349926,3054200
2010-07-20,80.480003,82.339996,80.010002,82.190002,56.010967,3050800
2010-07-21,82.639999,83.110001,81.339996,82.300003,56.085915,4992700
2010-07-22,84.730003,85.139999,83.849998,84.750000,57.755558,7153200
2010-07-23,84.699997,86.269997,84.349998,86.169998,58.723251,4559100
2010-07-26,86.500000,87.470001,85.889999,87.320000,59.506943,4834500
2010-07-27,87.160004,87.389999,86.330002,86.800003,59.152603,4243800
2010-07-28,86.440002,87.000000,86.220001,86.690002,59.077625,2824600
2010-07-29,87.050003,87.480003,85.720001,86.339996,58.839119,3344200
2010-07-30,85.500000,86.349998,84.860001,85.540001,58.293915,4744600
2010-08-02,86.800003,87.779999,86.720001,87.410004,59.568283,3639000
2010-08-03,86.980003,87.550003,86.680000,87.209999,59.431969,2855500
2010-08-04,87.300003,88.070000,87.230003,88.000000,59.970364,2222600
2010-08-05,87.309998,87.919998,86.970001,87.720001,59.779552,2523600
2010-08-06,86.809998,87.540001,86.019997,87.290001,59.486511,2701300
2010-08-09,87.730003,88.379997,87.410004,88.029999,59.990826,3187400
2010-08-10,87.410004,87.779999,85.849998,87.110001,59.363850,3641400
2010-08-11,85.900002,85.989998,83.529999,84.099998,57.312599,4505600
2010-08-12,83.300003,84.629997,83.160004,84.010002,57.251255,3435300
2010-08-13,83.900002,84.449997,83.739998,84.010002,57.251255,2079100
2010-08-16,83.330002,83.959999,82.330002,83.430000,56.855988,2358400
2010-08-17,82.940002,84.889999,82.669998,84.089996,57.305775,4374600
2010-08-18,83.779999,84.000000,82.410004,83.610001,57.336639,3198900
2010-08-19,83.330002,83.440002,81.190002,81.809998,56.102264,3959300
